facility_type,facility_name,facility_phone,facility_address,facility_capacity,latitude,longitude,b_type
DAY CARE CENTER,STAR LIGHT CHRISTIAN PRESCHOOL,(415) 221-8005,750 - 26TH AVENUE,60,37.7752573,-122.4851687,childcare
DAY CARE CENTER,STAR OF THE SEA PRESCHOOL,(415) 221-7449,360 NINTH AVENUE,30,37.7818375,-122.467552,childcare
DAY CARE CENTER,STARLIGHT TWO,(415) 564-8313,3155 VICENTE STREET,45,37.7381786,-122.5010277,childcare
DAY CARE CENTER,STEPPING STONES PRE-SCHOOL - INNER SUNSET,(415) 665-4189,1329 - 7TH AVENUE,45,37.7635543,-122.4643024,childcare
DAY CARE CENTER,STRATFORD SCHOOL,(415) 333-3134,301 DE MONTFORT AVENUE,110,37.7235098,-122.4614928,childcare
DAY CARE CENTER,"STRETCH THE IMAGINATION, LLC",(415) 922-0104,2509 BUSH STREET,52,37.7861709,-122.4389024,childcare
DAY CARE CENTER,STS.PETER AND PAUL-LAURA VICUNA PREPARTORY,(415) 296-8549,666 FILBERT STREET,26,37.8014971,-122.4102797,childcare
DAY CARE CENTER,ST. ANNE PRESCHOOL,(415) 731-2355,1362A 14TH AVENUE,25,37.7626244,-122.4714594,childcare
DAY CARE CENTER,ST. JAMES EPISCOPAL CHURCH NURSERY SCHOOL,(415) 752-8258,4620 CALIFORNIA STREET,38,37.7847127,-122.4671783,childcare
DAY CARE CENTER,ST. LUKE'S PARISH SCHOOL,(415) 474-9489,1335 SUTTER STREET,104,37.7872156,-122.4223715,childcare
DAY CARE CENTER,ST. NICHOLAS DAY CARE AND PRESCHOOL,(415) 550-1536,5200 DIAMOND HEIGHTS BLVD.,70,37.7448452,-122.4403852,childcare
DAY CARE CENTER,ST. PAUL'S CHURCH-LITTLEST ANGEL PREPARATORY PRESC,(415) 824-5437,"221 VALLEY STREET, ROOM X",38,37.7442106,-122.4272742,childcare
DAY CARE CENTER,ST. PHILIP THE APOSTLE PRESCHOOL DAY CARE CENTER,(415) 282-0141,725 DIAMOND STREET,30,37.7517491,-122.4358806,childcare
DAY CARE CENTER,ST. THOMAS MORE PRESCHOOL,(415) 337-0100,2 THOMAS MORE WAY,34,37.712494,-122.473567,childcare
DAY CARE CENTER,ST.THOMAS THE APOSTLE PRE&K LRNG CTR,(415) 221-2711,710 - 40TH AVENUE,75,37.7752314,-122.5002901,childcare
DAY CARE CENTER,SUNRISE CHRISTIAN PRESCHOOL,(415) 682-9490,2235 JUDAH STREET,22,37.7611314,-122.4862093,childcare
DAY CARE CENTER,SUNSET NURSERY SCHOOL,(415) 504-6467,4245 LAWTON STREET,38,37.7564128,-122.5086234,childcare
DAY CARE CENTER,SWEET PEAS PRESCHOOL,(415) 701-0496,2730 17TH STREET,35,37.764516,-122.411104,childcare
DAY CARE CENTER,S.F. WALDORF SCHOOL NURSERY PROG. (PS),(415) 931-2244,3105 SACRAMENTO STREET,16,37.788536,-122.444177,childcare
DAY CARE CENTER,TEACHING TOTS PRESCHOOL,(415) 731-9705,939 IRVING STREET,24,37.7638409,-122.4681087,childcare
DAY CARE CENTER,TELEGRAPH HILL NURSERY SCHOOLS,(415) 421-6443,660 LOMBARD STREET,87,37.8031812,-122.4124557,childcare
DAY CARE CENTER,TELEGRAPH HILL PARENT PARTICIPATION NURSERY SCHOOL,(415) 421-3313,922 JACKSON STREET,30,37.7957039,-122.4103926,childcare
DAY CARE CENTER,TEMPLE EMANU-EL PRESCHOOL,(415) 751-2535,2 LAKE STREET,123,37.7871517,-122.459748,childcare
DAY CARE CENTER,TEREMOK,(415) 441-3866,2460 SUTTER STREET,15,37.7851316,-122.440933,childcare
DAY CARE CENTER,TINY GIANTS (PS),(415) 359-9499,1748 CLAY STREET,60,37.7925737,-122.421781,childcare
DAY CARE CENTER,TRUE SUNSHINE PRESCHOOL CENTER,(415) 956-4207,"777 STOCKTON ST., RM. 201",44,37.7930097,-122.4078072,childcare
DAY CARE CENTER,UCSF CHILD CARE AT MISSION BAY - PRESCHOOL,(415) 255-7954,1555 SIXTH STREET,60,37.7694807,-122.3947281,childcare
DAY CARE CENTER,UCSF KIRKHAM CDC (PS),(415) 644-1217,10 KIRKHAM STREET,72,37.7605771,-122.4606892,childcare
DAY CARE CENTER,WAH MEI SCHOOL,(415) 665-4212,1400 JUDAH STREET,65,37.7617574,-122.4771043,childcare
DAY CARE CENTER,WIND IN THE WILLOWS,(415) 333-7165,713 MONTEREY BLVD.,22,37.7313579,-122.4514612,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES- BAYVIEW CDC,(415) 655-9567,1601 LANE STREET,32,37.7317977,-122.3897624,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES- PRESCHOOL,(415) 321-3855,177 GOLDEN GATE AVENUE,32,37.7819396,-122.4135064,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES-CADILLAC CENTER (PS),(415) 409-3100,316 LEAVENWORTH STREET,40,37.7840614,-122.4141032,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES-GENERATIONS CDC,(415) 781-7535,1010 MONTGOMERY STREET,23,37.7984058,-122.4038975,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES-OMI PRESCHOOL CTR (PS),(415) 239-1502,1111 JUNIPERO SERRA BLVD.,40,37.717466,-122.471972,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES-POTRERO HILL CCC (PS),(415) 285-3600,824 CAROLINA ST.,36,37.7582659,-122.4003056,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES-SOUTHEAST CCC (PS),(415) 282-8200,1300 PHELPS STREET,36,37.7372931,-122.3938211,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES-SUNNYDALE CDC-PRESCHOOL,(415) 333-6335,700 VELASCO AVENUE,42,37.7097739,-122.4183006,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES-WESTSIDE CCC (PS),(415) 677-0100,2400 POST STREET,30,37.7841203,-122.4413684,childcare
DAY CARE CENTER,WU YEE CHILDREN'S SERVICES - KIRKWOOD CCC (PS),(415) 822-5505,729 KIRKWOOD AVENUE,40,37.7288686,-122.3738344,childcare
DAY CARE CENTER,WU YEE CHILDRENS SVCS. LOK YUEN CHILD DEV. PROGRAM,(415) 391-4979,888 CLAY STREET,48,37.7942363,-122.407566,childcare
DAY CARE CENTER,YERBA BUENA GARDENS CHILD DEV CTR,(415) 820-3500,790 FOLSOM STREET,96,37.7825045,-122.400876,childcare
DAY CARE CENTER,"YMCA OF SF., MISSION BRANCH, MISSION PRESCHOOL",(415) 586-6900,4080 MISSION STREET,42,37.7325142,-122.4278545,childcare
DAY CARE CENTER,"YMCA OF SF., STONESTOWN BRANCH, LUTHERAN CHURCH",(415) 242-7135,1011 GARFIELD STREET,32,37.7193747,-122.4720978,childcare
DAY CARE CENTER,"YMCA OF SF., STONESTOWN BRANCH, ST. FRANCIS",(415) 452-9622,399 SAN FERNANDO WAY,34,37.730393,-122.4697368,childcare
INFANT CENTER,ANGELA'S CHILDREN CENTER - INFANT,(415) 386-0184,775 - 7TH AVENUE,36,37.7740128,-122.4650815,childcare
INFANT CENTER,ASSOCIATED STUDENTS CHILDREN'S CENTER - INFANT,(415) 338-2403,1650 HOLLOWAY AVENUE,40,37.7223946,-122.4786143,childcare
INFANT CENTER,BRIGHT HORIZONS AT 221 MAIN STREET (INFANT),(415) 495-1706,221 MAIN STREET,41,37.7904127,-122.3920575,childcare
INFANT CENTER,BRIGHT HORIZONS AT KANSAS STREET (INF),(415) 863-2533,"200 KANSAS STREET, STE. 100",32,37.766731,-122.404214,childcare
INFANT CENTER,BRIGHT HORIZONS SAN FRANCISCO CALIFORNIA ST-INFANT,(415) 392-7531,555 CALIFORNIA STREET,10,37.7927446,-122.4038946,childcare
INFANT CENTER,BRIGHT HORIZONS UCSF MARILYN REED LUCIA CDC,(415) 673-8000,610 PARNASSUS AVENUE,30,37.762919,-122.4599183,childcare
INFANT CENTER,BRIGHT HORIZONS @ SECOND STREET - INFANT,(415) 495-2500,"303 SECOND STREET,2ND FL.,#250",38,37.7857659,-122.3958604,childcare
INFANT CENTER,C5 CHILDREN'S SCHOOL-SFPUC (INF),(415) 703-1277,525 GOLDEN GATE AVENUE,36,37.7810143,-122.4192528,childcare
INFANT CENTER,CCFC-MARY LANE INFANT AND TODDLER CENTER,(415) 921-7019,ONE WEBSTER STREET,28,37.7696809,-122.4283024,childcare
INFANT CENTER,CCFC-VV HERITAGE CENTER (I),(415) 921-7019,245 REY STREET,16,37.7102213,-122.4126348,childcare
INFANT CENTER,CCFC-VV JOHN KING CENTER (I),(415) 921-7019,500 RAYMOND AVENUE,16,37.715472,-122.413578,childcare
INFANT CENTER,COMPASS CHILDREN'S CENTER-INFANTS,(415) 644-0504,144 LEAVENWORTH STREET,27,37.7824393,-122.4137033,childcare
INFANT CENTER,CROSS CULTURAL FAM CTR(CCFC)-TENDERLOIN INFANT CTR,(415) 921-7019,333 TAYLOR STREET,9,37.7854071,-122.411454,childcare
INFANT CENTER,CYO-TREASURE ISLAND CCC (INFANT),(415) 834-0602,850 AVENUE D,21,37.8256933,-122.3731404,childcare
INFANT CENTER,EOC - OSCARYNE WILLIAMS CENTER OF HOPE,(415) 647-6970,85 TURNER TERRACE,16,37.7562195,-122.3949412,childcare
INFANT CENTER,EOC - RAINBOW INFANT CARE CENTER,(415) 982-6522,799 PACIFIC AVENUE,22,37.7967004,-122.4084403,childcare
INFANT CENTER,EPIPHANY PARENT-CHILD CENTER,(415) 567-8370,100 MASONIC AVENUE,39,37.7806658,-122.4471199,childcare
INFANT CENTER,FACESSF - HAYES VALLEY CDC (INFANT),(415) 552-1535,305 BUCHANAN STREET,18,37.7727046,-122.4273571,childcare
INFANT CENTER,FAMILY DEVELOPMENTAL CENTER (INFANT),(415) 282-1090,2730 BRYANT STREET,65,37.7504536,-122.4091574,childcare
INFANT CENTER,"FAMILY SCHOOL CDC BERNAL GATEWAY, THE",(415) 550-4178,3101 MISSION STREET,16,37.7478925,-122.4181212,childcare
INFANT CENTER,FRANDELJA ENRICHMENT CENTER (INFANT),(415) 822-1699,950 GILMAN STREET,40,37.7177863,-122.3870576,childcare
INFANT CENTER,GRACE INFANT CARE CENTER,(415) 681-6606,3201 ULLOA STREET,15,37.740262,-122.490852,childcare
INFANT CENTER,"GROWING TREE SCHOOL LLC, THE (INF)",(415) 682-8889,1984 GREAT HIGHWAY,28,37.7494726,-122.5076799,childcare
INFANT CENTER,HEALTHY ENVIRONMENTS CDC (INF),(415) 744-8754,95 HAWTHORNE STREET,39,37.7848577,-122.3979208,childcare
INFANT CENTER,HELEN HAWK CHILDREN'S CTR-COMPASS FAM SRVS INFANT,(415) 863-0681,111 PAGE STREET,8,37.7738268,-122.4230998,childcare
INFANT CENTER,HILLTOP DEVELOPMENTAL CENTER/FSA,(415) 282-1090,2730 BRYANT STREET,30,37.7504536,-122.4091574,childcare
INFANT CENTER,HOLY FAMILY DAY HOME INFANT/TODLR CTR.,(415) 861-5361,"299 DOLORES ST.,RMS #1 & #2",31,37.7648702,-122.4260554,childcare
INFANT CENTER,KATHERINE MICHIELS SCHOOL,(415) 821-1434,1335 GUERRERO STREET,15,37.7498401,-122.4224022,childcare
INFANT CENTER,KIDS BY THE BAY - INFANT,(415) 554-8100,90 SEVENTH STREET,21,37.7791976,-122.4121784,childcare
INFANT CENTER,"LAND'S END SCHOOL - INFANT, THE",(415) 751-8511,4150 CLEMENT ST BUILDING T-45,18,37.7821827,-122.5042152,childcare
INFANT CENTER,LETTERMAN DIGITAL ARTS CCC (INFANT),(415) 746-5444,"ONE LETTERMAN DRIVE, BLDG. B",40,37.7989268,-122.449303,childcare
INFANT CENTER,MARIN DAY SCHOOL- HILL PLAZA CAMPUS (INFANT),(415) 777-9696,2 HARRISON ST. #150,21,37.7895035,-122.3890646,childcare
INFANT CENTER,MARIN DAY SCHOOL- SPEAR STREET (INFANT),(415) 777-2081,220 SPEAR STREET,20,37.7911353,-122.3923329,childcare
INFANT CENTER,MARIN DAY SCHOOL- S.F. CITY HALL CCC (INFANT),(415) 554-7560,1 DR. CARLTON B. GOODLETT WAY,18,37.7792719,-122.4192288,childcare
INFANT CENTER,MARIN DAY SCHOOL- UCSF LAUREL HEIGHTS (INFANT),(415) 775-2111,"3333 CALIFORNIA ST., STE. 220",42,37.787017,-122.449047,childcare
INFANT CENTER,MARIN DAY SCHOOLS-1390 MARKET STREET CAMPUS,(415) 431-2201,"1390 MARKET STREET,#108",12,37.777311,-122.4172441,childcare
INFANT CENTER,MARTHA HILLS LEARNING CENTER - INFANT,(415) 467-7427,1042 JAMESTOWN AVENUE,15,37.719162,-122.394243,childcare
INFANT CENTER,MONTESSORI SCHOOL OF THE BAY AREA INC. - INFANT,(415) 292-7970,1550 EDDY STREET,18,37.7813789,-122.4331773,childcare
INFANT CENTER,PACIFIC GAS & ELECTRIC CHILDREN'S CENTER - INFANT,(415) 972-5535,77 BEALE STREET 2ND FLR MC-B2A,28,37.7921285,-122.3966794,childcare
INFANT CENTER,"SALVATION ARMY HARBOR HOUSE CDC (INF.), THE",(415) 503-3032,407 NINTH STREET,20,37.7721795,-122.4091855,childcare
INFANT CENTER,SFSU - CHILDREN'S CAMPUS (INFANT),(415) 405-4011,NORTH STATE DRIVE,36,37.7259911,-122.4821109,childcare
INFANT CENTER,SFUSD-PRESIDIO (EES) INFANT/TODDLER,(415) 561-5822,387 MORAGA AVE,30,37.7982566,-122.460557,childcare
INFANT CENTER,"SLIPPERY FISH INITIATIVE, INC.-INFANT",(415) 585-5300,999 BROTHERHOOD WAY,23,37.7140243,-122.4830744,childcare
INFANT CENTER,SOUTHEAST FAMILIES UNITED/CHILDREN'S CENTER,(415) 920-7000,1337 EVANS AVENUE,14,37.7400158,-122.3838305,childcare
INFANT CENTER,ST. NICHOLAS DAY CARE AND PRESCHOOL-INFANT,(415) 550-1536,5200 DIAMOND HEIGHTS BLVD.,39,37.7448452,-122.4403852,childcare
INFANT CENTER,"TINY GIANTS TOO, INC.",(415) 409-6581,2163 FILBERT STREET,32,37.7979242,-122.4350621,childcare
INFANT CENTER,UCSF CHILD CARE AT MISSION BAY - INFANT,(415) 255-7954,1555 SIXTH STREET,26,37.7694807,-122.3947281,childcare
INFANT CENTER,WU YEE CHILDREN'S SERVICES-SUNNYDALE CDC-INFANTS,(415) 391-4721,700 VELASCO AVENUE,28,37.7097739,-122.4183006,childcare
INFANT CENTER,WU YEE CHILDREN'S SERVICES - KIRKWOOD CCC (INF),(415) 822-5505,729 KIRKWOOD AVENUE,22,37.7288686,-122.3738344,childcare
INFANT CENTER,WU YEE CHILDREN SERVICES-CHINATOWN INFANT CENTER,(415) 391-4721,"831 BROADWAY STREET, 1ST FLOOR",28,37.7971849,-122.410828,childcare
INFANT CENTER,YERBA BUENA GARDENS CHILD DEV CTR,(415) 820-3500,790 FOLSOM STREET,24,37.7825045,-122.400876,childcare
SCHOOL AGE DAY CARE CENTER,AFTER SCHOOL ENRICHMENT PROGRAM,(415) 863-2737,1025 14TH STREET,200,37.7670656,-122.4364055,childcare
SCHOOL AGE DAY CARE CENTER,BRIGHT HORIZONS SAN FRANCISCO CALIFORNIA ST-SCH,(415) 392-7531,555 CALIFORNIA STREET,14,37.7927446,-122.4038946,childcare
SCHOOL AGE DAY CARE CENTER,BRIGHT HORIZONS @ 2ND STREET. - SCHOOL AGE.,(415) 495-2500,"303 2ND STREET, 2ND FLR. #250",12,37.7857659,-122.3958604,childcare
SCHOOL AGE DAY CARE CENTER,"BUENA VISTA CHILD CARE, INC. (SA)",(415) 285-0221,3351 23RD STREET,190,37.75355,-122.419999,childcare
SCHOOL AGE DAY CARE CENTER,CATHOLIC CHARITIES CYO-10TH & MISSION HOUSING,(415) 863-1141,801 JESSIE STREET,71,37.7758229,-122.4163269,childcare
SCHOOL AGE DAY CARE CENTER,CCFC-TURK SCHOOL AGE CENTER,(415) 928-5178,259 TURK STREET,53,37.7827086,-122.4133906,childcare
SCHOOL AGE DAY CARE CENTER,CHILDREN'S AFTER SCHOOL ARTS,(415) 643-2272,443 BURNETT STREET,200,37.7543278,-122.44396,childcare
SCHOOL AGE DAY CARE CENTER,CLAIRE LILIENTHAL AFTER SCHOOL PROGRAM,(415) 750-1577,3960 SACRAMENTO STREET,80,37.7867872,-122.4581308,childcare
SCHOOL AGE DAY CARE CENTER,EOC - MARTIN LUTHER KING SCHOOL-AGE CENTER,(415) 821-7000,200 CASHMERE STREET,25,37.7367028,-122.3857067,childcare
SCHOOL AGE DAY CARE CENTER,"EVERYDAY MAGIC, INC.",(415) 681-9168,220 MIDDLEFIELD DRIVE,80,37.7304324,-122.4852876,childcare
SCHOOL AGE DAY CARE CENTER,FACESSF - BAYVIEW SCHOOL AGE,(415) 821-7550,100 WHITNEY YOUNG CIRCLE,90,37.7340633,-122.384142,childcare
SCHOOL AGE DAY CARE CENTER,GLO AT ALICE FONG YU ALTERNATIVE SCHOOL,(415) 753-1113,1541 - 12TH AVENUE,140,37.7591991,-122.4696914,childcare
SCHOOL AGE DAY CARE CENTER,GLO AT ALVARADO ELEMENTARY SCHOOL,(415) 285-7756,625 DOUGLASS STREET,300,37.7537275,-122.4385279,childcare
SCHOOL AGE DAY CARE CENTER,GLO AT WEST PORTAL ELEMENTARY SCHOOL,(415) 242-8641,5 LENOX WAY,200,37.7436144,-122.4647316,childcare
SCHOOL AGE DAY CARE CENTER,GLO @ CHINESE IMMERSION SCHOOL AT DE AVILA,(415) 753-1113,1250 WALLER STREET,320,37.769602,-122.444308,childcare
SCHOOL AGE DAY CARE CENTER,GLO @ DIANNE FEINSTEIN ELEMENTARY,(415) 753-1113,2550 25TH AVENUE,250,37.7396634,-122.4817726,childcare
SCHOOL AGE DAY CARE CENTER,GRATTAN AFTER SCHOOL PROGRAM,(415) 506-8617,165 GRATTAN ST.,280,37.7636309,-122.4504803,childcare
SCHOOL AGE DAY CARE CENTER,HELEN HAWK CHILDREN'S CTR-COMPASS FAM. SRVS.-SA,(415) 644-0504,111 PAGE STREET,5,37.7738268,-122.4230998,childcare
SCHOOL AGE DAY CARE CENTER,"JANET POMEROY CENTER, THE",(415) 665-4100,"207 SKYLINE BLVD.,1-5,12,14-17",111,37.732332,-122.4982379,childcare
SCHOOL AGE DAY CARE CENTER,JCCSF HAVURAH YOUTH CENTER,(415) 292-1210,3200 CALIFORNIA STREET,147,37.7873063,-122.4468382,childcare
SCHOOL AGE DAY CARE CENTER,K.E.E.P. INC.,(415) 564-2741,2051 34TH AVENUE,63,37.748849,-122.4922376,childcare
SCHOOL AGE DAY CARE CENTER,"K.E.E.P., INC. (LAWTON)",(415) 681-0930,1570 - 31ST AVENUE,76,37.7582345,-122.4890188,childcare
SCHOOL AGE DAY CARE CENTER,MIRALOMA SCHOOL,(415) 859-9605,175 OMAR WAY,185,37.738776,-122.4501873,childcare
SCHOOL AGE DAY CARE CENTER,NIHONMACHI LITTLE FRIENDS,(415) 346-5064,1700 SUTTER STREET,70,37.78692,-122.428686,childcare
SCHOOL AGE DAY CARE CENTER,OUR KIDS FIRST,(415) 585-1104,"5845 MISSION ST., STE 301",120,37.7091175,-122.4514203,childcare
SCHOOL AGE DAY CARE CENTER,PORTOLA FAMILY CONNECTIONS-SCHOOL AGE,(415) 715-6746,2565 SAN BRUNO AVENUE,74,37.729499,-122.4041334,childcare
SCHOOL AGE DAY CARE CENTER,SECOND COMMUNITY CHILDCARE CENTER,(415) 759-1897,500 CLARENDON AVENUE,160,37.7539881,-122.4559843,childcare
SCHOOL AGE DAY CARE CENTER,SFUSD-JOHN MCLAREN (EES) SCHOOL AGE,(415) 469-4519,2055 SUNNYDALE AVENUE,56,37.7137047,-122.4234838,childcare
SCHOOL AGE DAY CARE CENTER,SFUSD-JUNIPERO SERRA (EES) SCHOOL AGE,(415) 920-5138,155 APPLETON STREET,20,37.7379855,-122.4217807,childcare
SCHOOL AGE DAY CARE CENTER,SFUSD-LEOLA HAVARD EARLY EDUCATION (SCHOOL AGE),(415) 695-5660,1520 OAKDALE AVENUE,168,37.7345061,-122.3890433,childcare
SCHOOL AGE DAY CARE CENTER,SFUSD-NORIEGA (EES) SCHOOL AGE,(415) 759-2853,1775 44TH-AVENUE,112,37.7533162,-122.5033067,childcare
SCHOOL AGE DAY CARE CENTER,SFUSD-PRESIDIO (EES) SCHOOL AGE,(415) 561-5822,387 MORAGA AVENUE,75,37.7982566,-122.460557,childcare
SCHOOL AGE DAY CARE CENTER,SFUSD-SAN MIGUEL (EES) SCHOOL AGE,(415) 469-4756,300 SENECA AVENUE,148,37.7216375,-122.4452411,childcare
SCHOOL AGE DAY CARE CENTER,"SFUSD-TULE ELK PARK EARLY EDUCATION SCHOOL,SCH AGE",(415) 749-3551,2110 GREENWICH STREET,56,37.7991024,-122.4349544,childcare
SCHOOL AGE DAY CARE CENTER,TELEGRAPH HILL NEIGHBORHOOD CENTER,(415) 421-6443,660 LOMBARD STREET,130,37.8031812,-122.4124557,childcare
SCHOOL AGE DAY CARE CENTER,ULLOA CHILDREN'S CENTER,(415) 759-8854,2650 42ND AVENUE,120,37.7372875,-122.4999919,childcare
SCHOOL AGE DAY CARE CENTER,UP ON TOP AFTER SCHOOL,(415) 225-6558,1187 FRANKLIN STREET,24,37.78529,-122.4232848,childcare
SCHOOL AGE DAY CARE CENTER,"YMCA OF SF., BUCHANAN BRANCH, NEW TRADITIONS",(415) 751-1622,2049 GROVE,119,37.7743138,-122.4503932,childcare
SCHOOL AGE DAY CARE CENTER,"YMCA OF SF., MISSION BRANCH, SUNNYSIDE ELEM. SITE",(415) 240-8397,250 FOERSTER,60,37.7302989,-122.4483426,childcare
SCHOOL AGE DAY CARE CENTER,"YMCA OF SF., RICHMOND BRANCH, ARGONNE SITE",(415) 831-4093,680 18TH AVENUE,83,37.7753874,-122.4764852,childcare
SCHOOL AGE DAY CARE CENTER,"YMCA OF SF., RICHMOND BRANCH, LAFAYETTE SITE",(415) 752-0790,4545 ANZA STREET,35,37.7774086,-122.4971447,childcare
SCHOOL AGE DAY CARE CENTER,"YMCA OF SF., STONESTOWN BRANCH, COMMODORE SLOAT",(415) 664-9622,50 DARIEN WAY,250,37.7315894,-122.47091,childcare
SCHOOL AGE DAY CARE CENTER,"YMCA OF SF., STONESTOWN BRANCH, JOHN O'CONNEL SITE",(415) 850-2901,1920 41ST AVENUE,45,37.7507498,-122.4998545,childcare
SCHOOL AGE DAY CARE CENTER,"YMCA OF SF., STONESTOWN BRANCH, JOSE ORTEGA",(415) 242-7100,400 SARGENT STREET,90,37.716573,-122.4669559,childcare
